index,open,close,low,high,LONGS_SIGNAL,SHORTS_SIGNAL,LONGS_SIGNAL_PA,SHORTS_SIGNAL_PA
490.0,21437.01,21357.77,21350.0,21443.53,0.0,0.0,0.0,0.0
491.0,21362.06,21390.16,21345.72,21401.15,0.0,0.0,0.0,0.0
492.0,21389.78,21415.76,21389.76,21436.79,0.0,0.0,0.0,0.0
493.0,21413.53,21418.11,21401.92,21422.71,0.0,0.0,0.0,0.0
494.0,21417.5,21429.95,21406.84,21430.69,0.0,0.0,0.0,0.0
495.0,21429.9,21446.14,21422.01,21476.26,0.0,0.0,0.0,0.0
496.0,21445.1,21406.8,21398.64,21450.54,0.0,0.0,0.0,0.0
497.0,21406.78,21401.2,21370.0,21419.78,0.0,0.0,0.0,0.0
498.0,21402.36,21404.5,21383.34,21408.54,0.0,0.0,0.0,0.0
499.0,21404.3,21439.13,21401.47,21445.14,0.0,0.0,0.0,0.0
500.0,21438.94,21447.24,21426.51,21449.2,0.0,0.0,0.0,0.0
501.0,21446.27,21432.85,21427.13,21459.68,0.0,0.0,0.0,0.0
502.0,21435.48,21442.11,21425.79,21449.06,0.0,0.0,0.0,0.0
503.0,21441.54,21456.6,21441.53,21467.17,0.0,1.0,0.0,21467.17
504.0,21456.52,21442.52,21420.52,21461.36,0.0,0.0,0.0,0.0
505.0,21439.59,21412.58,21398.83,21442.73,0.0,0.0,0.0,0.0
506.0,21413.9,21443.47,21412.58,21448.39,0.0,0.0,0.0,0.0
507.0,21443.52,21414.0,21406.57,21450.63,0.0,0.0,0.0,0.0
508.0,21414.08,21426.57,21411.67,21444.49,0.0,0.0,0.0,0.0
509.0,21424.59,21382.98,21375.67,21444.98,0.0,0.0,0.0,0.0
510.0,21386.92,21351.55,21325.01,21395.23,0.0,0.0,0.0,0.0
511.0,21358.63,21366.18,21348.97,21376.04,0.0,0.0,0.0,0.0
512.0,21365.84,21394.55,21334.46,21398.48,0.0,0.0,0.0,0.0
513.0,21394.53,21411.36,21389.35,21417.31,0.0,0.0,0.0,0.0
514.0,21410.92,21415.69,21409.88,21435.49,0.0,0.0,0.0,0.0
515.0,21415.69,21430.4,21400.95,21431.82,0.0,0.0,0.0,0.0
516.0,21429.34,21404.03,21401.58,21429.34,0.0,0.0,0.0,0.0
517.0,21404.03,21401.72,21382.81,21410.45,0.0,0.0,0.0,0.0
518.0,21401.72,21418.62,21401.19,21421.45,0.0,0.0,0.0,0.0
519.0,21419.63,21442.8,21414.65,21447.39,0.0,0.0,0.0,0.0
520.0,21442.08,21455.22,21431.71,21459.18,0.0,0.0,0.0,0.0
521.0,21455.18,21457.97,21430.69,21459.77,0.0,0.0,0.0,0.0
522.0,21455.2,21455.54,21445.2,21465.89,0.0,0.0,0.0,0.0
523.0,21455.54,21448.41,21442.76,21459.18,0.0,0.0,0.0,0.0
524.0,21448.9,21443.32,21438.25,21453.14,0.0,0.0,0.0,0.0
525.0,21446.01,21446.73,21434.12,21451.69,0.0,0.0,0.0,0.0
526.0,21445.19,21417.96,21414.59,21448.44,0.0,0.0,0.0,0.0
527.0,21419.5,21424.72,21391.45,21427.01,0.0,0.0,0.0,0.0
528.0,21424.29,21412.07,21407.52,21427.56,0.0,0.0,0.0,0.0
529.0,21411.34,21425.29,21403.74,21426.79,0.0,0.0,0.0,0.0
530.0,21427.21,21443.64,21422.15,21455.73,0.0,0.0,0.0,0.0
531.0,21444.28,21421.69,21421.69,21469.88,0.0,0.0,0.0,0.0
532.0,21421.22,21416.79,21408.87,21431.96,0.0,0.0,0.0,0.0
533.0,21416.82,21435.05,21413.46,21436.78,0.0,0.0,0.0,0.0
534.0,21435.01,21433.88,21407.33,21435.05,0.0,0.0,0.0,0.0
535.0,21433.71,21449.33,21429.14,21453.31,0.0,0.0,0.0,0.0
536.0,21449.55,21431.42,21424.24,21449.55,0.0,0.0,0.0,0.0
537.0,21431.18,21446.0,21417.0,21451.93,0.0,0.0,0.0,0.0
538.0,21445.76,21446.13,21431.29,21458.35,0.0,0.0,0.0,0.0
539.0,21449.78,21444.35,21418.88,21453.08,0.0,0.0,0.0,0.0
540.0,21445.35,21438.49,21428.64,21448.91,0.0,0.0,0.0,0.0
541.0,21436.28,21435.18,21429.3,21439.3,0.0,0.0,0.0,0.0
542.0,21435.99,21414.34,21409.18,21437.17,0.0,0.0,0.0,0.0
543.0,21412.46,21430.68,21411.66,21433.82,0.0,0.0,0.0,0.0
544.0,21427.55,21438.78,21413.13,21440.0,0.0,0.0,0.0,0.0
545.0,21438.9,21441.41,21428.7,21448.05,0.0,0.0,0.0,0.0
546.0,21442.54,21434.09,21425.05,21442.58,0.0,0.0,0.0,0.0
547.0,21432.93,21414.28,21413.42,21435.0,0.0,0.0,0.0,0.0
548.0,21415.24,21424.11,21395.0,21429.19,0.0,0.0,0.0,0.0
549.0,21422.69,21431.16,21410.52,21433.66,0.0,0.0,0.0,0.0
550.0,21431.65,21415.75,21413.3,21435.84,0.0,1.0,0.0,21435.84
551.0,21414.97,21423.86,21403.31,21428.0,0.0,0.0,0.0,0.0
552.0,21425.15,21385.69,21350.0,21425.15,0.0,0.0,0.0,0.0
553.0,21386.26,21407.01,21366.72,21419.36,0.0,0.0,0.0,0.0
554.0,21404.66,21396.83,21371.65,21409.18,0.0,0.0,0.0,0.0
