ts-5,open,close,low,high,index
2022-08-24 12:35:00,21451.69,21446.89,21443.87,21464.87,0
2022-08-24 12:40:00,21443.79,21432.22,21419.48,21461.64,1
2022-08-24 12:45:00,21433.24,21432.76,21422.3,21449.37,2
2022-08-24 12:50:00,21434.29,21473.47,21422.32,21510.19,3
2022-08-24 12:55:00,21473.58,21488.95,21471.67,21496.53,4
2022-08-24 13:00:00,21486.16,21484.97,21475.14,21508.03,5
2022-08-24 13:05:00,21486.02,21488.05,21477.95,21511.18,6
2022-08-24 13:10:00,21486.07,21467.64,21461.92,21492.94,7
2022-08-24 13:15:00,21469.48,21455.05,21452.77,21476.83,8
2022-08-24 13:20:00,21455.22,21447.01,21441.11,21472.58,9
2022-08-24 13:25:00,21447.01,21437.3,21427.67,21460.44,10
2022-08-24 13:30:00,21437.31,21378.69,21376.25,21456.6,11
2022-08-24 13:35:00,21377.86,21477.63,21368.94,21479.27,12
2022-08-24 13:40:00,21474.38,21470.64,21448.82,21487.1,13
2022-08-24 13:45:00,21471.12,21447.42,21421.63,21484.81,14
2022-08-24 13:50:00,21446.86,21443.31,21430.09,21484.2,15
2022-08-24 13:55:00,21443.24,21437.05,21417.39,21451.83,16
2022-08-24 14:00:00,21440.31,21411.74,21401.88,21480.59,17
2022-08-24 14:05:00,21409.87,21416.03,21401.95,21447.45,18
2022-08-24 14:10:00,21416.72,21453.65,21415.29,21466.86,19
2022-08-24 14:15:00,21454.14,21486.44,21446.92,21489.11,20
2022-08-24 14:20:00,21487.25,21507.02,21469.01,21507.02,21
2022-08-24 14:25:00,21506.16,21529.67,21500.01,21560.42,22
2022-08-24 14:30:00,21531.55,21519.4,21499.57,21555.21,23
2022-08-24 14:35:00,21519.41,21491.68,21483.85,21540.66,24
2022-08-24 14:40:00,21490.88,21465.77,21453.54,21497.9,25
2022-08-24 14:45:00,21465.94,21483.06,21453.56,21486.0,26
2022-08-24 14:50:00,21483.66,21464.79,21460.67,21486.14,27
2022-08-24 14:55:00,21465.62,21467.65,21451.73,21489.2,28
2022-08-24 15:00:00,21466.94,21472.17,21453.45,21492.51,29
2022-08-24 15:05:00,21472.17,21502.17,21470.41,21508.01,30
2022-08-24 15:10:00,21502.17,21544.26,21484.45,21544.96,31
2022-08-24 15:15:00,21544.05,21551.27,21527.76,21593.4,32
2022-08-24 15:20:00,21551.27,21586.86,21548.82,21587.94,33
2022-08-24 15:25:00,21586.42,21594.48,21573.22,21616.49,34
2022-08-24 15:30:00,21590.16,21573.63,21552.4,21601.26,35
2022-08-24 15:35:00,21574.47,21558.81,21554.45,21587.27,36
2022-08-24 15:40:00,21560.5,21583.7,21551.84,21586.4,37
2022-08-24 15:45:00,21583.68,21573.61,21570.53,21599.96,38
2022-08-24 15:50:00,21573.64,21632.63,21566.99,21648.72,39
2022-08-24 15:55:00,21632.74,21623.3,21587.4,21641.99,40
2022-08-24 16:00:00,21623.26,21668.97,21611.18,21677.0,41
2022-08-24 16:05:00,21670.79,21888.08,21669.46,21890.0,42
2022-08-24 16:10:00,21886.69,21813.28,21780.07,21925.0,43
2022-08-24 16:15:00,21811.4,21788.27,21734.4,21827.96,44
2022-08-24 16:20:00,21790.78,21749.28,21722.02,21793.13,45
2022-08-24 16:25:00,21748.8,21750.45,21740.72,21804.27,46
2022-08-24 16:30:00,21751.59,21784.39,21741.72,21787.82,47
2022-08-24 16:35:00,21783.93,21709.9,21694.41,21783.93,48
2022-08-24 16:40:00,21710.04,21690.44,21668.67,21714.89,49
2022-08-24 16:45:00,21689.24,21715.99,21679.87,21732.53,50
2022-08-24 16:50:00,21716.02,21720.22,21688.06,21731.56,51
2022-08-24 16:55:00,21721.38,21716.45,21713.61,21737.85,52
2022-08-24 17:00:00,21715.78,21716.22,21701.41,21735.14,53
2022-08-24 17:05:00,21716.22,21762.17,21712.41,21781.13,54
2022-08-24 17:10:00,21761.76,21748.03,21733.72,21767.75,55
2022-08-24 17:15:00,21749.01,21711.98,21711.98,21766.7,56
2022-08-24 17:20:00,21713.55,21650.4,21645.42,21723.52,57
2022-08-24 17:25:00,21651.88,21642.67,21626.65,21673.27,58
