z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207
1.110202162554165,0.7097633835743362,-1.097351027077201,-1.327951724878374,0.4602957457629612,-0.6651702545786206,1.5469167896736111,-1.1393276815851392,-1.316194600012365,-0.3506449938396069,1.933816158633939,-2.0524306206061707
-0.3165495677316557,1.8770383475335268,-1.1098398018802214,-0.7192216701410875,0.06364028136003295,-0.14744357582468784,1.4759276398388408,-1.0930420438273456,-1.3295588244795473,-0.41930991628966396,1.9295523218777593,-2.0192599345351416
-1.6795022160620574,1.8131897421762038,-1.263516518304818,-0.007054498962839305,-0.6014475341165412,0.07328728486119392,1.418298239005487,-1.0669138416944421,-1.3378558509183103,-0.4580802901836521,1.9148767509007314,-1.977342482364902
-1.8484130888455057,1.5005009842462478,-1.396496629443435,0.5856088778668752,-1.4251283838568336,0.18096228781379095,1.3630139364493215,-1.048894893808106,-1.3572431727089105,-0.5605688001682251,1.9063890555494023,-1.9416355822179197
-1.5898587090533023,0.7101946335048157,-1.470653619779741,0.7105979861669732,-2.081400900171617,-0.03167690125772539,1.364522665701832,-1.2202506134682545,-1.3639841570460662,-0.651928648151148,1.9106120828821347,-1.918443218919205
-1.2696460367731268,0.09334899425298512,-1.2449481362163048,0.8874545160259326,-2.52654164313817,-1.2387702704357437,1.384995707008323,-1.46022819319688,-1.3734020008135404,-0.8020343214863641,1.923220882168405,-1.9000608031348334
-0.8367122862092292,0.266933865403435,-1.0083431556133562,1.0584501886349809,-2.5215859830344094,-2.1340246858593543,1.3878653565798276,-1.6217710142435753,-1.3895804972623675,-1.031038859602151,1.9266413213572018,-1.8756204737609967
-0.22544880355380645,0.8819243520161067,-0.5788658367820778,1.2210125588788288,-2.311642598645409,-2.3524885074377515,1.3745532578277433,-1.7120668629813205,-1.401586831857959,-1.234736027379151,1.8843632645503015,-1.8627816029764384
0.8002027717851589,-0.008141411959605252,-0.557283882931436,1.1941414057668174,-2.187620207694526,-2.305756722565123,1.3651043329222483,-1.9068331975344257,-1.4185383815973804,-1.4286046175798603,1.8418656136947953,-1.836712535198145
1.8068658980635788,-1.3272418862913613,-0.39003586892509684,1.0912604782726762,-2.1208050033130093,-2.786928752508058,1.334878417497405,-1.8958710538952461,-1.4240832142092017,-1.558796674872248,1.8171397704168735,-1.8093813703702726
