,roi_cat,short_flg,long_flg,nothing_flg,long_pa,short_pa
140,0.5,0,0,1.0,0.0,0.0
141,0.5,0,0,1.0,0.0,0.0
142,0.5,0,0,1.0,0.0,0.0
143,0.5,0,0,1.0,0.0,0.0
144,0.5,0,0,1.0,0.0,0.0
145,0.5,0,0,1.0,0.0,0.0
146,0.5,0,0,1.0,0.0,0.0
147,0.5,0,0,1.0,0.0,0.0
148,0.5,0,0,1.0,0.0,0.0
149,0.5,0,0,1.0,0.0,0.0
150,0.5,0,0,1.0,0.0,0.0
151,1.0,0,1,0.0,42671.88,0.0
152,1.0,0,1,0.0,42654.05,0.0
153,0.5,0,0,1.0,0.0,0.0
154,0.5,0,0,1.0,0.0,0.0
155,0.5,0,0,1.0,0.0,0.0
156,0.5,0,0,1.0,0.0,0.0
157,0.5,0,0,1.0,0.0,0.0
158,1.0,0,1,0.0,42645.33,0.0
159,0.5,0,0,1.0,0.0,0.0
160,1.0,0,1,0.0,42630.36,0.0
161,1.0,0,1,0.0,42557.1,0.0
162,1.0,0,1,0.0,42537.68,0.0
163,1.0,0,1,0.0,42509.17,0.0
164,1.0,0,1,0.0,42557.57,0.0
165,1.0,0,1,0.0,42549.19,0.0
166,1.0,0,1,0.0,42547.98,0.0
167,1.0,0,1,0.0,42643.28,0.0
168,1.0,0,1,0.0,42609.34,0.0
169,1.0,0,1,0.0,42576.74,0.0
170,1.0,0,1,0.0,42551.33,0.0
171,1.0,0,1,0.0,42577.36,0.0
172,1.0,0,1,0.0,42603.78,0.0
173,1.0,0,1,0.0,42645.82,0.0
174,0.5,0,0,1.0,0.0,0.0
175,1.0,0,1,0.0,42656.58,0.0
176,0.5,0,0,1.0,0.0,0.0
177,1.0,0,1,0.0,42616.56,0.0
178,1.0,0,1,0.0,42651.87,0.0
179,1.0,0,1,0.0,42581.15,0.0
180,1.0,0,1,0.0,42598.5,0.0
181,1.0,0,1,0.0,42655.74,0.0
182,1.0,0,1,0.0,42672.21,0.0
183,1.0,0,1,0.0,42618.51,0.0
184,0.5,0,0,1.0,0.0,0.0
185,0.5,0,0,1.0,0.0,0.0
186,0.5,0,0,1.0,0.0,0.0
187,0.5,0,0,1.0,0.0,0.0
188,0.5,0,0,1.0,0.0,0.0
189,0.5,0,0,1.0,0.0,0.0
190,0.5,0,0,1.0,0.0,0.0
191,0.5,0,0,1.0,0.0,0.0
192,0.5,0,0,1.0,0.0,0.0
193,0.5,0,0,1.0,0.0,0.0
194,0.5,0,0,1.0,0.0,0.0
195,0.5,0,0,1.0,0.0,0.0
196,0.5,0,0,1.0,0.0,0.0
197,0.5,0,0,1.0,0.0,0.0
198,0.5,0,0,1.0,0.0,0.0
