epoch,timestamp,low,high,open,close,volume;
1641772860.0,2022-01-10T00:01:00.000000Z,41823.99,41865.18,41838.77,41857.58,5.59108399;
1641772920.0,2022-01-10T00:02:00.000000Z,41842.39,41901.82,41855.92,41895.77,16.66249634;
1641772980.0,2022-01-10T00:03:00.000000Z,41884.89,41959.71,41898.18,41923.84,23.21353342;
1641773040.0,2022-01-10T00:04:00.000000Z,41899.25,41929.33,41924.62,41922.3,13.72355325;
1641773100.0,2022-01-10T00:05:00.000000Z,41883.53,41927.38,41921.93,41887.08,4.83384369;
1641773160.0,2022-01-10T00:06:00.000000Z,41795.65,41887.08,41887.07,41820.81,25.88665885;
1641773220.0,2022-01-10T00:07:00.000000Z,41700.54,41819.13,41819.13,41771.99,36.52147683;
1641773280.0,2022-01-10T00:08:00.000000Z,41747.75,41909.26,41771.99,41903.29,22.87287484;
1641773340.0,2022-01-10T00:09:00.000000Z,41840.97,41915.81,41903.29,41894.92,27.2906558;
1641773400.0,2022-01-10T00:10:00.000000Z,41846.51,41911.68,41893.65,41846.81,12.96359066;
1641773460.0,2022-01-10T00:11:00.000000Z,41810.55,41859.68,41855.45,41824.99,7.08428293;
1641773520.0,2022-01-10T00:12:00.000000Z,41823.25,41905.54,41824.72,41881.91,16.97772419;
1641773580.0,2022-01-10T00:13:00.000000Z,41877.58,41943.99,41877.58,41934.79,10.10105401;
1641773640.0,2022-01-10T00:14:00.000000Z,41905.32,41944.0,41936.6,41942.18,16.05439258;
1641773700.0,2022-01-10T00:15:00.000000Z,41874.91,41938.01,41938.01,41916.34,12.60215535;
1641773760.0,2022-01-10T00:16:00.000000Z,41900.99,41949.63,41920.14,41926.98,8.43546239;
1641773820.0,2022-01-10T00:17:00.000000Z,41926.97,41984.3,41926.97,41952.07,12.25660091;
1641773880.0,2022-01-10T00:18:00.000000Z,41916.73,41975.3,41956.79,41946.39,10.87172903;
1641773940.0,2022-01-10T00:19:00.000000Z,41937.73,41987.56,41944.62,41966.32,13.40928812;
1641774000.0,2022-01-10T00:20:00.000000Z,41965.83,41985.56,41966.34,41979.84,4.86824384;
1641774060.0,2022-01-10T00:21:00.000000Z,41938.69,41979.85,41979.85,41942.71,7.35734354;
1641774120.0,2022-01-10T00:22:00.000000Z,41935.64,42000.0,41946.19,41990.31,10.40286767;
1641774180.0,2022-01-10T00:23:00.000000Z,41981.35,42000.0,41993.19,41999.99,4.65032308;
1641774240.0,2022-01-10T00:24:00.000000Z,41995.0,42040.84,41996.49,42037.28,6.38653154;
1641774300.0,2022-01-10T00:25:00.000000Z,41989.77,42040.84,42037.79,41995.25,10.55903651;
1641774360.0,2022-01-10T00:26:00.000000Z,41989.77,42018.84,41995.25,41993.73,7.23663063;
1641774420.0,2022-01-10T00:27:00.000000Z,41972.76,42021.03,41993.72,41996.01,8.98027184;
1641774480.0,2022-01-10T00:28:00.000000Z,41973.16,42009.1,42000.8,41985.49,18.40894648;
1641774540.0,2022-01-10T00:29:00.000000Z,41955.42,41985.49,41985.49,41960.24,7.12322371;
1641774600.0,2022-01-10T00:30:00.000000Z,41911.48,41961.46,41960.24,41911.48,6.75744174;
1641774660.0,2022-01-10T00:31:00.000000Z,41865.95,41915.12,41911.47,41870.37,8.19638271;
1641774720.0,2022-01-10T00:32:00.000000Z,41861.36,41896.34,41870.37,41893.02,6.61689715;
1641774780.0,2022-01-10T00:33:00.000000Z,41890.2,41934.92,41891.74,41931.56,5.9579634;
1641774840.0,2022-01-10T00:34:00.000000Z,41897.75,41954.43,41929.06,41898.04,26.72972843;
1641774900.0,2022-01-10T00:35:00.000000Z,41885.77,41929.07,41897.08,41895.19,17.8382865;
1641774960.0,2022-01-10T00:36:00.000000Z,41830.4,41895.18,41895.18,41841.96,7.68921485;
1641775020.0,2022-01-10T00:37:00.000000Z,41790.31,41854.18,41841.96,41816.27,11.35174946;
