z-sma-7,z-std-7,z-sma-14,z-std-14,z-sma-28,z-std-28,z-sma-54,z-std-54,z-sma-106,z-std-106,z-sma-207,z-std-207,LONGS_SIGNAL,SHORTS_SIGNAL,index,open,close,low,high
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,467.0,41596.0,41642.87,41508.21,41647.98
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,468.0,41642.87,41941.59,41584.05,41945.03
True,True,True,True,True,True,True,True,True,True,True,True,0.0,1.0,469.0,41941.94,41927.83,41924.12,42186.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,470.0,41925.21,41938.05,41856.4,41984.91
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,471.0,41941.86,41911.54,41773.34,41979.4
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,472.0,41913.38,41839.6,41835.73,41961.71
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,473.0,41843.31,41813.68,41734.15,41868.1
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,474.0,41818.59,41658.68,41627.43,41975.37
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,475.0,41651.18,41667.13,41585.28,41739.97
True,True,True,True,True,True,True,True,True,True,True,True,1.0,0.0,476.0,41661.54,41513.48,41454.11,41673.47
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,477.0,41513.51,41579.6,41483.23,41645.87
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,478.0,41587.52,41654.26,41554.6,41694.32
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,479.0,41652.47,41743.78,41635.0,41780.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,480.0,41743.78,41966.81,41691.3,42008.04
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,481.0,41966.82,41985.84,41942.87,42120.93
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,482.0,41999.57,42158.45,41991.45,42186.22
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,483.0,42167.0,42405.13,42165.14,42475.0
True,True,True,True,True,True,True,True,True,True,True,True,0.0,0.0,484.0,42399.14,42338.22,42304.61,42430.69
