,ts-15,open,close,low,high,index,1p_long,1p_short,longs_score,shorts_score,longs_percentile,shorts_percentile,lowest_longs,highest_shorts,long_entry,long_exit
0,2022-05-29 10:00:00,29094.52,29084.55,29070.97,29096.55,0,True,False,1.010749005915512,1.0,92.12481426448737,10.549777117384844,,,False,False
1,2022-05-29 10:15:00,29084.54,29085.88,29079.35,29188.56,1,True,False,1.0107027877444312,1.0,91.97622585438336,10.549777117384844,,,False,False
2,2022-05-29 10:30:00,29085.57,29112.17,29085.54,29132.12,2,False,False,1.0097900637431014,1.0005388966160522,89.89598811292718,26.15156017830609,29084.55,29130.66,False,False
3,2022-05-29 10:45:00,29112.16,29130.66,29071.17,29144.15,3,False,False,1.0091491232948377,1.0011743684547516,88.8558692421991,33.43239227340268,29085.88,29151.78,False,False
4,2022-05-29 11:00:00,29133.28,29096.49,29085.28,29186.46,4,True,False,1.0103342361913756,1.0,90.93610698365528,10.549777117384844,29096.49,29156.89,True,False
5,2022-05-29 11:15:00,29099.32,29151.78,29099.32,29200.0,5,False,False,1.0084180108384462,1.0,85.88410104011886,10.549777117384844,29096.49,29194.8,False,False
6,2022-05-29 11:30:00,29151.59,29156.89,29150.0,29181.68,6,False,False,1.0082412767616848,1.0,85.58692421991084,10.549777117384844,29096.49,29397.18,False,False
7,2022-05-29 11:45:00,29156.88,29194.8,29143.88,29226.69,7,False,False,1.0069320563936044,1.0,80.83209509658246,10.549777117384844,29151.78,29397.18,False,False
8,2022-05-29 12:00:00,29196.69,29397.18,29177.41,29462.05,8,False,False,1.0,1.0033893237326386,8.320950965824666,57.800891530460625,29156.89,29397.18,False,True
9,2022-05-29 12:15:00,29401.08,29341.28,29314.47,29421.01,9,False,False,1.0006635702327915,1.0014813358509216,24.368499257057948,37.295690936106986,29194.8,29397.18,False,False
10,2022-05-29 12:30:00,29341.28,29315.49,29294.37,29362.15,10,False,False,1.0015438936889678,1.001437139903708,34.02674591381872,36.849925705794945,29297.88,29397.18,False,False
11,2022-05-29 12:45:00,29315.5,29349.67,29302.19,29426.24,11,False,False,1.0003775170214861,1.004450089049694,20.50520059435364,66.71619613670134,29297.88,29349.67,False,True
12,2022-05-29 13:00:00,29349.67,29297.88,29290.24,29441.16,12,False,False,1.0021458890540884,1.0038911305797087,39.673105497771175,63.00148588410104,29297.88,29360.75,True,False
13,2022-05-29 13:15:00,29297.11,29344.86,29290.14,29358.41,13,False,False,1.0005414917638047,1.0055008991129484,23.031203566121842,75.48291233283804,29297.88,29360.75,False,False
14,2022-05-29 13:30:00,29344.19,29360.75,29328.21,29363.84,14,False,False,1.0,1.0060453695683163,8.320950965824666,78.6032689450223,29297.88,29360.75,False,True
15,2022-05-29 13:45:00,29360.74,29304.06,29281.6,29367.6,15,False,False,1.000841521618506,1.0041028881262268,26.894502228826152,64.33878157503715,29300.0,29360.75,False,False
16,2022-05-29 14:00:00,29305.61,29300.0,29275.91,29323.23,16,False,False,1.000980204778157,1.0039637723270578,28.52897473997028,63.59583952451709,29300.0,29360.75,True,False
17,2022-05-29 14:15:00,29300.0,29328.72,29291.36,29357.19,17,False,False,1.0,1.0049478624137893,8.320950965824666,71.1738484398217,29273.42,29328.72,False,True
18,2022-05-29 14:30:00,29328.7,29300.15,29287.05,29344.26,18,False,False,1.0,1.0039689120733326,8.320950965824666,63.7444279346211,29219.64,29328.72,False,False
19,2022-05-29 14:45:00,29300.15,29273.42,29259.46,29315.15,19,False,False,1.0004167603238707,1.0030530092871788,21.2481426448737,54.23476968796434,29184.32,29328.72,False,False
20,2022-05-29 15:00:00,29273.42,29219.64,29129.18,29273.42,20,False,False,1.0029113979501458,1.0012102389228188,48.14264487369985,34.02674591381872,29184.32,29300.15,False,False
21,2022-05-29 15:15:00,29219.63,29184.32,29153.77,29219.63,21,False,False,1.0041251603600838,1.0,61.2184249628529,10.549777117384844,29184.32,29273.42,True,False
22,2022-05-29 15:30:00,29183.13,29187.44,29143.18,29198.77,22,False,False,1.0040178241051632,1.0,59.73254086181278,10.549777117384844,29184.32,29219.86,False,False
23,2022-05-29 15:45:00,29186.0,29190.9,29164.98,29213.8,23,False,False,1.0038988177822539,1.0,58.989598811292716,10.549777117384844,29184.32,29279.86,False,False
24,2022-05-29 16:00:00,29189.75,29219.86,29188.35,29244.52,24,False,False,1.002903846904126,1.0008518584866786,47.84546805349183,30.163447251114412,29187.44,29285.62,False,False
25,2022-05-29 16:15:00,29221.25,29279.86,29210.33,29320.0,25,False,False,1.000848706243814,1.0038391545768839,27.043090638930163,62.25854383358098,29190.9,29285.62,False,False
26,2022-05-29 16:30:00,29281.11,29285.62,29262.58,29320.0,26,False,False,1.0006518557571942,1.004969664525339,24.219910846953937,71.47102526002972,29219.86,29285.62,False,True
27,2022-05-29 16:45:00,29285.61,29261.27,29229.24,29288.19,27,False,False,1.0014845562068906,1.0056507835040565,33.7295690936107,76.67161961367013,29261.27,29304.71,True,False
28,2022-05-29 17:00:00,29261.27,29267.99,29242.9,29274.0,28,False,False,1.001254612974789,1.0066501253325923,31.50074294205052,81.12927191679049,29261.27,29304.71,False,False
29,2022-05-29 17:15:00,29267.98,29304.71,29218.69,29308.09,29,False,False,1.0,1.0079130816409076,8.320950965824666,85.88410104011886,29201.61,29304.71,False,True
30,2022-05-29 17:30:00,29304.71,29300.61,29289.22,29336.51,30,False,False,1.0,1.0077720652775064,8.320950965824666,84.84398216939078,29194.99,29304.71,False,False
31,2022-05-29 17:45:00,29300.6,29201.61,29161.35,29301.11,31,False,False,1.0,1.0043670360148913,8.320950965824666,65.97325408618127,29194.99,29304.71,False,False
32,2022-05-29 18:00:00,29201.61,29194.99,29183.32,29220.0,32,False,False,1.0002188731696773,1.0041393461793509,18.573551263001487,64.78454680534918,29167.88,29300.61,False,False
33,2022-05-29 18:15:00,29194.99,29201.38,29180.66,29215.0,33,False,False,1.0,1.0043591253408468,8.320950965824666,65.82466567607726,29140.8,29201.61,False,False
34,2022-05-29 18:30:00,29201.39,29167.88,29151.44,29215.0,34,False,False,1.0,1.0032069184691539,8.320950965824666,55.274888558692425,29096.85,29201.38,False,False
